,label,group,measure,elevation,xval,yval,amplitude,displacement,r2,PAQ1,PAQ2,PAQ3,PAQ4,PAQ5,PAQ6,PAQ7,PAQ8,model
0,arb_max_N,arb,max_N,0.03987662115129251,-0.3739799048199146,0.32583019679955905,0.4960103692016446,138.9359735419768,0.868453878582068,0.0,45.0,90.0,135.0,180.0,225.0,270.0,315.0,Equal Angles
14,arb_max_N,arb,max_N,0.028652429436686323,-0.30077583688796483,0.5262890458808425,0.6061734602156573,119.74810153281145,0.9738830920704284,0.0,36.0,45.0,135.0,167.0,201.0,242.0,308.0,Corrected Angles
1,cmn_max_N,cmn,max_N,0.013303864156823752,-0.38676666904961177,0.07573057146997127,0.39411112105965795,168.92140360645442,0.9143632622539624,0.0,45.0,90.0,135.0,180.0,225.0,270.0,315.0,Equal Angles
15,cmn_max_N,cmn,max_N,0.008257261896531526,-0.3029935263083392,0.3457287672972886,0.4597101886206841,131.23102795286772,0.9972795590053675,0.0,18.0,38.0,154.0,171.0,196.0,217.0,318.0,Corrected Angles
2,deu_max_N,deu,max_N,-0.03887107582093497,-0.47027303473847376,0.3796428208977888,0.6043884501389518,141.08669663767466,0.9857162506867756,0.0,45.0,90.0,135.0,180.0,225.0,270.0,315.0,Equal Angles
16,deu_max_N,deu,max_N,-0.012336098741181195,-0.5526088617872824,0.23910443628595635,0.6021191622739313,156.60268736172668,0.9977909098291239,0.0,64.0,97.0,132.0,182.0,254.0,282.0,336.0,Corrected Angles
3,ell_max_N,ell,max_N,0.01930339087715329,-0.3924574764928786,0.37641285023702814,0.543791784306017,136.19546291728474,0.865821811290481,0.0,45.0,90.0,135.0,180.0,225.0,270.0,315.0,Equal Angles
17,ell_max_N,ell,max_N,-0.012408277100060218,-0.4477069644768035,0.337783607218857,0.5608380259458312,142.96636795539354,0.9658404695362006,0.0,72.0,86.0,133.0,161.0,233.0,267.0,328.0,Corrected Angles
4,eng_max_N,eng,max_N,-0.007631169756184449,-0.4924604868301025,0.3632722471943216,0.6119510247320074,143.58499847148371,0.9827018952112921,0.0,45.0,90.0,135.0,180.0,225.0,270.0,315.0,Equal Angles
18,eng_max_N,eng,max_N,-0.0029888476489110067,-0.5039896860912036,0.32292817820634045,0.5985718101998924,147.35054114807002,0.9801084230748451,0.0,46.0,94.0,138.0,177.0,231.0,275.0,340.0,Corrected Angles
5,hrv_max_N,hrv,max_N,0.03888508421790275,-0.42303847127502026,0.4248827476703658,0.5995722620724093,134.87537864991165,0.9062805428931001,0.0,45.0,90.0,135.0,180.0,225.0,270.0,315.0,Equal Angles
19,hrv_max_N,hrv,max_N,0.0017760558870112601,-0.5351242634193473,0.30936082230923956,0.6181117177986095,149.96735292897569,0.9955436862700789,0.0,84.0,93.0,160.0,173.0,243.0,273.0,354.0,Corrected Angles
6,ind_max_N,ind,max_N,0.06571448494496007,-0.32445991640334937,0.48494532322219014,0.583477680693566,123.78509313647598,0.9663188537226237,0.0,45.0,90.0,135.0,180.0,225.0,270.0,315.0,Equal Angles
20,ind_max_N,ind,max_N,-0.003038797193617738,-0.21970453091261877,0.4846674374098061,0.5321396487661131,114.3852557126806,0.9949850544076368,0.0,53.0,104.0,123.0,139.0,202.0,284.0,308.0,Corrected Angles
21,ita_max_N,ita,max_N,0.043825088835806866,-0.5333362326366872,0.20125334516768348,0.5700442491458687,159.32610284554264,0.9445807328307314,0.0,57.0,104.0,142.0,170.0,274.0,285.0,336.0,Corrected Angles
7,ita_max_N,ita,max_N,-0.0019062011357110675,-0.4568311224011669,0.3926165948809058,0.6023640634783812,139.3230874870023,0.9209403986079892,0.0,45.0,90.0,135.0,180.0,225.0,270.0,315.0,Equal Angles
8,kor_max_N,kor,max_N,0.003372418535806073,-0.3307708121597,0.4877290143056484,0.5893122445464263,124.1445567026676,0.9621876960117459,0.0,45.0,90.0,135.0,180.0,225.0,270.0,315.0,Equal Angles
22,kor_max_N,kor,max_N,-0.0011986199883691352,-0.3529475587853786,0.42276833451733076,0.5507313718348683,129.85677053034019,0.9954666181557765,0.0,56.0,90.0,124.0,151.0,251.0,275.0,288.0,Corrected Angles
23,nld_max_N,nld,max_N,-0.004002094664881983,-0.5422819881660863,0.3149137949947484,0.6270888716660166,149.85542366697,0.998637159970155,0.0,43.0,111.0,125.0,174.0,257.0,307.0,341.0,Corrected Angles
9,nld_max_N,nld,max_N,-0.0630671239238953,-0.4854263050692089,0.4769103519823338,0.6805014191616783,135.50701117017678,0.9557051167718378,0.0,45.0,90.0,135.0,180.0,225.0,270.0,315.0,Equal Angles
24,spa_max_N,spa,max_N,0.013358781491727737,-0.47659045459616484,0.3785250557744035,0.6086211294895982,141.54215014406623,0.9795610991880269,0.0,41.0,103.0,147.0,174.0,238.0,279.0,332.0,Corrected Angles
10,spa_max_N,spa,max_N,-0.00012696172026285886,-0.47165718894845826,0.4401561013242286,0.6451340150850102,136.97865268576595,0.9827019629613636,0.0,45.0,90.0,135.0,180.0,225.0,270.0,315.0,Equal Angles
25,swe_max_N,swe,max_N,0.0011147689140721619,-0.5474736407002322,0.2938514172186325,0.6213501771649911,151.7757316468106,0.9917213476462807,0.0,66.0,87.0,146.0,175.0,249.0,275.0,335.0,Corrected Angles
11,swe_max_N,swe,max_N,-0.009718187886010315,-0.47522474879619503,0.39711197798404835,0.6193032253483022,140.11686290779235,0.9592522562890446,0.0,45.0,90.0,135.0,180.0,225.0,270.0,315.0,Equal Angles
26,tur_max_N,tur,max_N,0.012860133439572563,-0.4245148732578491,0.44811586825883665,0.6172687494134939,133.45076757350114,0.9714654137704528,0.0,55.0,97.0,106.0,157.0,254.0,289.0,313.0,Corrected Angles
12,tur_max_N,tur,max_N,-0.010101798525100866,-0.36472090616718184,0.5573984793666447,0.6661189114532465,123.1978092595585,0.9303895328998459,0.0,45.0,90.0,135.0,180.0,225.0,270.0,315.0,Equal Angles
13,vie_max_N,vie,max_N,-0.0036372530575901237,-0.367998375478952,0.08621428831034064,0.3779625746869738,166.8146038385432,0.8353845006335399,0.0,45.0,90.0,135.0,180.0,225.0,270.0,315.0,Equal Angles
27,vie_max_N,vie,max_N,-0.027038553858007193,-0.38728300174833824,0.1638969054855613,0.4205357524289063,157.06207683719683,0.9787021590429977,0.0,68.0,58.0,155.0,180.0,234.0,228.0,322.0,Corrected Angles
